name,location,currency,price,participants,organizer,period,invite,tags,logo_link,hackathon_link
KTHack 2023,Online,$,3480,36,KTBYTE,"Jun 17 - 18, 2023",False,"Beginner Friendly, Education, Social Good",//d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/480/420/datas/medium_square.jpeg,https://kthack-2023.devpost.com
Tigre Hacks,Polideportivo FIME,MEX$,60000,137,Bisontech,"May 28, 2023",False,"Education, Machine Learning/AI, Web",//d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/489/014/datas/medium_square.jpg,https://tigre-hacks.devpost.com
Hydra Hacks III,Oshman Family JCC,$,3000,2,Hydra Hacks,"May 28, 2023",False,"Beginner Friendly, Open Ended, Social Good",//d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/489/959/datas/medium_square.jpg,https://hydrahacks3.devpost.com
GryphHacks 2023,University of Guelph - University Cenre,$CAD,850,64,university of guelph,"May 27 - 28, 2023",False,"Beginner Friendly, Design, Machine Learning/AI",//d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/489/721/datas/medium_square.png,https://gryphhacks-2023.devpost.com
Hackamental,VISST,$CAD,500,8,XdHacks Mini,"Jun 24, 2023",False,"Beginner Friendly, Health, Social Good",//d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/486/495/datas/medium_square.png,https://hackamental.devpost.com
Westview Hacks,Pacific Time,$,25,21,Westview Webdev Club,"May 27, 2023",False,"Beginner Friendly, Databases, Web",https://q9k6x7m8.stackpathcdn.com/assets/defaults/thumbnail-placeholder.gif,https://westview-hacks.devpost.com
ILLUMINA'23,Online,₹,25000,250,Vellore Institute of Technology,"May 26 - Jun 02, 2023",False,Web,//d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/489/053/datas/medium_square.png,https://illumina23.devpost.com
Student Dreamers Venture One Day Hackathon,Online,$,900,1,George Mason University,"May 26, 2023",False,"Beginner Friendly, Education",//d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/488/710/datas/medium_square.png,https://student-gmu-one-day-hackathon.devpost.com
"""Hello 8th Wall"" Workshop (Amsterdam)",N/A,£,0,20,Niantic,"May 25 - 26, 2023",False,AR/VR,//d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/488/214/datas/medium_square.png,https://hello-8th-wall-workshop-ams.devpost.com
PolyHack 2023,Online,$,334700,91,Google Developer Student Club @ PolyU,"May 31 - Jun 05, 2023",False,"Fintech, IoT, Machine Learning/AI",//d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/486/826/datas/medium_square.png,https://polyhack2023.devpost.com
X-thon 2,مكتبة التخصصات الصحية,$,8000,57,HTS,"May 25 - 27, 2023",False,"Education, Gaming, Web",//d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/486/331/datas/medium_square.png,https://x-thon.devpost.com
"It's Not A Bug, It's A Feature!",Crescenta Valley High School,$,750,19,Crescenta Valley High School,"May 20, 2023",False,"Beginner Friendly, Education, Open Ended",//d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/483/602/datas/medium_square.jpg,https://inabiaf.devpost.com
LifeHack 2023,"Singapore, Singapore",$,16000,236,NUS Students' Computing Club,"May 18 - 30, 2023",True,"Beginner Friendly, COVID-19",//d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/470/711/datas/medium_square.jpg,https://lifehack-23.devpost.com
AITE Hackathon 2023,Academy of Info Tech and Engineering,$,450,13,AITE,"May 18 - 25, 2023",True,"Beginner Friendly, Open Ended, Social Good",//d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/482/507/datas/medium_square.png,https://aite-hackathon-2023.devpost.com
2nd PHYSICS Hackathon,Greece,€,435,35,PHYSICS Project,"May 24 - Jun 07, 2023",False,"Beginner Friendly, DevOps",https://q9k6x7m8.stackpathcdn.com/assets/defaults/thumbnail-placeholder.gif,https://2nd-physics-hackathon.devpost.com
TritonHacks 2023,"University of California, CSE Building",$,610,73,CS foreach,"May 20 - 21, 2023",True,"Beginner Friendly, Education",//d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/463/930/datas/medium_square.png,https://tritonhacks23.devpost.com
AcademiesHacks 2023,Academies of Loudoun,$,902,132,Loudoun County Public Schools,"May 19 - 21, 2023",True,"Beginner Friendly, Education",//d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/482/607/datas/medium_square.png,https://aclhacks23.devpost.com
HackJPS 2023,Online,$,55000,254,John P. Stevens High School,"Jun 03 - 04, 2023",False,"Beginner Friendly, Productivity, Social Good",//d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/481/688/datas/medium_square.png,https://hackjps-2023.devpost.com
"""Hello 8th Wall"" Workshop (London)",N/A,$,0,36,Niantic,"May 18 - 19, 2023",False,"AR/VR, Low/No Code, Web",//d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/482/549/datas/medium_square.png,https://hello-8th-wall-workshop-london.devpost.com
